id,snapshot_ts,trade_date,symbol,expiry,underlying_value,strike_price,ce_oi,ce_price,ce_iv,pe_oi,pe_price,pe_iv
1,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,170.0,0,0.0,0.0,58,0.02,124.1
2,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,180.0,0,0.0,0.0,13,0.1,0.0
3,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,190.0,0,0.0,0.0,61,0.03,107.75
4,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,195.0,6,59.35,0.0,32,0.07,112.01
5,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,200.0,12,118.36,0.0,149,0.09,109.86
6,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,205.0,10,94.74,0.0,14,0.1,105.97
7,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,210.0,3,86.0,0.0,85,0.11,102.0
8,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,215.0,8,85.74,0.0,22,0.11,96.95
9,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,220.0,71,102.0,0.0,118,0.12,92.98
10,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,225.0,32,40.64,0.0,49,0.16,91.36
11,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,230.0,107,92.42,0.0,204,0.17,87.1
12,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,235.0,100,57.1,0.0,108,0.18,82.84
13,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,240.0,207,83.0,0.0,441,0.2,79.14
14,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,245.0,121,70.5,0.0,150,0.26,77.21
15,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,250.0,408,72.62,0.0,805,0.3,73.92
16,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,255.0,122,45.02,0.0,129,0.32,69.71
17,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,260.0,131,61.72,0.0,410,0.38,66.69
18,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,265.0,112,57.43,0.0,201,0.49,64.6
19,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,270.0,184,52.35,0.0,813,0.62,62.29
20,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,275.0,161,47.69,0.0,417,0.78,59.88
21,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,280.0,396,43.08,0.0,1128,0.94,56.88
22,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,285.0,177,39.49,52.56,709,1.26,55.29
23,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,290.0,550,34.52,47.14,1401,1.54,52.36
24,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,295.0,208,30.1,46.99,621,1.98,50.14
25,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,300.0,1444,25.32,42.49,2361,2.6,48.27
26,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,305.0,368,21.19,41.87,644,3.3,45.79
27,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,310.0,849,17.32,41.06,1585,4.42,44.48
28,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,315.0,331,13.96,41.07,673,6.14,44.59
29,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,320.0,1312,11.14,41.64,1087,8.14,44.2
30,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,325.0,707,8.8,42.41,218,10.73,44.68
31,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,330.0,982,6.7,42.4,120,13.87,45.89
32,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,335.0,1096,5.06,42.73,59,17.4,47.33
33,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,340.0,479,3.92,43.92,15,21.15,48.44
34,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,345.0,108,2.97,44.73,0,0.0,0.0
35,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,350.0,625,2.26,45.69,1,30.0,54.72
36,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,355.0,11,1.9,48.12,0,0.0,0.0
37,2026-04-19T08:14:18,2026-04-19,ANGELONE,28-Apr-2026,322.6,360.0,264,1.36,48.14,0,0.0,0.0
38,2026-04-19T09:15:37,2026-04-19,ANGELONE,28-Apr-2026,322.6,170.0,0,0.0,0.0,58,0.02,124.1
